date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1765843200,Dec 16 2025 - 12:00am,Ecuador,Primera Categoría Serie A,CS Emelec,CD El Nacional,1.37,1.18,1.37,1.18,2.45,41,94,69,41,27,11,66,33,78,42,9.26,5.00,58,50,40,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.54,3.77,4.90,1.17,1.87,2.26,3.70,1.45,2.50,1.18,1.40,0.00,0.00,15.00,4.75,1.83,1.60,1.22,1.21,1.23,1.36,2.37,1.53,1.22,1.36,1.70,2.00,2.60,3.70,2.70,2.04,1.73,1.41,7,32,59,74,90,1.24,2.25,4.80,3.34,1.57,1.12,1.12,1.74,3.14,4.70,1.97,1.27,N/A,N/A,N/A,N/A,13,2.00,8.30,2.10,1.37,1.18,9,/ecuador/cs-emelec-vs-cd-el-nacional-h2h-stats
1765845000,Dec 16 2025 - 12:30am,Jamaica,Jamaica National Premier League,Arnett Gardens,Montego Bay United,1.20,1.67,1.20,1.67,2.72,55,100,80,64,19,10,62,19,100,45,12.40,0.00,60,40,20,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.70,3.30,2.25,1.21,1.73,3.00,5.50,1.62,2.10,1.51,2.11,0.00,0.00,10.00,3.58,1.91,1.33,1.13,1.30,1.28,1.36,2.00,1.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,20,37,82,90,1.30,2.58,6.00,3.10,1.43,1.09,1.22,1.94,4.00,3.80,1.70,1.18,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,1.33,2.09,12,/jamaica/montego-bay-united-fc-vs-arnett-gardens-fc-h2h-stats
1765846800,Dec 16 2025 - 1:00am,Nicaragua,Liga Primera U20,Managua U19,Estelí U19,1.31,2.00,1.31,2.00,3.07,52,79,70,58,46,25,0,0,0,0,0.00,-2.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,30,42,55,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.31,2.00,0,/nicaragua/managua-u19-vs-esteli-u19-h2h-stats
1765873800,Dec 16 2025 - 8:30am,Bangladesh,Federation Cup,Arambagh,Fortis,0.00,1.00,0.00,1.00,1.50,50,100,50,0,0,0,25,0,100,25,4.00,-1.50,100,100,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.60,4.60,1.37,N/A,N/A,N/A,N/A,N/A,N/A,0.40,1.29,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,50,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,1.00,3,/bangladesh/arambagh-krira-sangha-vs-fortis-fc-h2h-stats
1765873800,Dec 16 2025 - 8:30am,Bangladesh,Federation Cup,Bashundhara Kings,Mohammedan Dhaka,1.00,2.00,1.00,2.00,2.75,100,100,100,25,25,25,50,25,100,75,8.00,-1.50,50,50,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.70,3.60,4.05,N/A,1.85,N/A,N/A,N/A,N/A,0.00,1.21,0.00,0.00,N/A,N/A,1.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,75,75,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,1.00,2.00,3,/bangladesh/bashundhara-kings-vs-mohammedan-sc-dhaka-h2h-stats
1765879200,Dec 16 2025 - 10:00am,Turkey,2 Lig Beyaz,Kastamonuspor 1966,Şanlıurfaspor,1.50,2.57,1.50,2.57,2.87,48,100,81,48,27,14,60,14,61,42,7.20,3.17,37,37,37,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.90,2.87,2.38,1.31,2.09,3.45,7.50,1.78,1.89,0.93,1.40,0.00,0.00,7.85,2.92,1.68,1.22,1.07,1.28,1.26,1.37,2.00,1.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,20,53,73,87,1.43,2.92,7.50,2.50,1.32,1.05,1.29,2.18,5.00,3.30,1.57,1.14,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,1.60,2.27,17,/turkey/sanliurfaspor-vs-kastamonu-spor-kulubu-1966-h2h-stats
1765879200,Dec 16 2025 - 10:00am,Turkey,2 Lig Kirmizi,Muş Menderesspor,Fethiyespor,2.43,0.14,2.43,0.14,3.07,43,100,86,71,43,7,72,50,72,36,3.14,5.38,22,15,7,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.26,4.65,9.60,1.16,1.63,2.49,4.50,2.00,1.70,0.00,0.90,0.00,0.00,14.00,4.15,2.12,1.42,1.13,1.12,1.12,3.14,1.11,6.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,14,29,58,93,1.31,2.41,5.30,2.98,1.46,1.12,1.16,1.81,3.50,4.60,1.87,1.25,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,1.67,0.93,16,/turkey/fethiyespor-vs-mus-menderesspor-h2h-stats
1765879200,Dec 16 2025 - 10:00am,Turkey,3. Lig Group 3,Artvin Hopaspor,Çayelispor,0.83,0.50,0.83,0.50,2.75,59,100,100,42,17,9,67,25,92,67,6.25,0.67,13,13,13,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10,0.89,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,59,84,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,0.62,0.69,14,/turkey/artvin-hopa-spor-kulubu-vs-cayeli-spor-kulubu-h2h-stats
1765879200,Dec 16 2025 - 10:00am,Turkey,3. Lig Group 3,Fatsa Belediyespor,Yeni Amasyaspor,2.50,0.67,2.50,0.67,2.92,59,100,84,50,34,25,84,50,84,42,9.00,0.00,34,34,17,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.67,3.44,4.73,N/A,2.00,N/A,N/A,N/A,N/A,1.39,1.45,0.00,0.00,N/A,N/A,1.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,17,50,67,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,2.15,0.92,14,/turkey/fatsa-belediyesi-spor-kulubu-vs-yeni-amasya-spor-kulubu-h2h-stats
1765879200,Dec 16 2025 - 10:00am,Turkey,3. Lig Group 3,Karadeniz Ereğli BSK,1926 Bulancakspor,2.00,1.50,2.00,1.50,2.92,42,92,83,50,33,17,75,33,67,59,7.17,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.82,3.50,3.68,N/A,N/A,N/A,N/A,N/A,N/A,1.15,0.97,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,17,50,67,84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,1.69,1.31,14,/turkey/karadeniz-eregli-belediye-spor-kulubu-vs-1926-bulancakspor-h2h-stats
