date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1766016000,Dec 18 2025 - 12:00am,Trinidad and Tobago,TT Pro League,Defence Force,Point Fortin,1.67,0.00,1.67,0.00,2.42,59,84,84,59,17,0,59,17,59,42,6.83,0.00,34,34,17,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.04,9.00,15.00,1.04,1.20,1.53,2.28,1.62,2.12,1.05,1.01,0.00,0.00,N/A,11.00,4.33,2.38,1.52,1.01,1.04,3.75,1.01,13.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,17,42,84,100,1.12,1.53,3.00,5.30,2.05,1.34,1.04,1.37,2.02,8.40,2.85,1.69,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,2.33,1.00,4,/trinidad-and-tobago/defence-force-fc-vs-point-fortin-fc-h2h-stats
1766017800,Dec 18 2025 - 12:30am,Guadeloupe,Guadeloupe Division of Honor,Gourbeyre,Arsenal Guadeloupe,1.20,1.80,1.20,1.80,3.10,50,100,80,60,40,30,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,20,40,60,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.17,1.58,13,/guadeloupe/arsenal-guadeloupe-vs-ao-gourbeyrienne-h2h-stats
1766017800,Dec 18 2025 - 12:30am,Colombia,Copa Colombia,Independiente Medellín,Atlético Nacional,1.78,2.33,1.78,2.33,2.17,39,84,62,45,22,6,67,17,67,44,12.44,5.22,73,62,39,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.53,2.96,2.93,1.38,2.31,4.30,10.00,1.93,1.75,1.65,1.57,0.00,0.00,6.40,2.63,1.57,1.17,1.05,1.28,1.31,1.40,1.80,1.90,1.28,1.50,1.84,2.43,3.14,3.30,2.40,1.86,1.48,1.27,17,39,56,78,95,1.51,3.15,10.00,2.36,1.27,1.00,1.29,2.44,4.80,3.22,1.48,1.07,N/A,N/A,N/A,N/A,13,1.59,7.50,2.70,1.78,2.33,0,/colombia/deportivo-independiente-medellin-vs-club-atletico-nacional-sa-h2h-stats
1766017800,Dec 18 2025 - 12:30am,Brazil,Copa do Brasil,Corinthians,Vasco da Gama,2.63,1.70,2.63,1.70,1.85,37,95,59,27,5,0,72,20,63,17,9.45,4.95,58,52,34,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.83,3.22,4.50,1.45,2.40,4.50,11.50,2.11,1.65,1.12,1.89,0.00,0.00,7.21,2.54,1.53,1.16,1.02,1.35,1.28,1.95,1.28,3.50,1.24,1.38,1.98,2.22,2.75,3.51,2.70,2.04,1.70,1.40,5,42,74,95,100,1.53,3.35,10.00,2.47,1.31,1.02,1.32,2.44,5.45,3.10,1.49,1.09,N/A,N/A,N/A,N/A,9,1.38,6.70,3.68,2.63,1.70,0,/brazil/sc-corinthians-paulista-vs-cr-vasco-da-gama-h2h-stats
1766021400,Dec 18 2025 - 1:30am,Honduras,Liga Nacional de Fútbol Profesional de Honduras,Olimpia,Motagua,2.50,1.56,2.50,1.56,3.04,66,95,84,71,43,13,89,41,84,54,9.81,5.75,53,47,47,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.70,3.50,4.33,1.28,1.84,3.30,6.25,1.76,1.91,2.08,1.38,0.00,0.00,9.90,3.25,1.78,1.27,1.07,1.21,1.20,1.93,1.36,3.00,1.10,1.28,1.68,1.85,2.36,4.71,3.12,2.30,1.85,1.50,6,17,29,58,88,1.34,2.67,7.00,2.83,1.38,1.08,1.21,2.05,4.30,3.90,1.67,1.18,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,2.26,1.60,3,/honduras/cd-olimpia-vs-cd-motagua-h2h-stats
1766023200,Dec 18 2025 - 2:00am,Guatemala,Liga Nacional de Fútbol de Guatemala,Antigua GFC,Aurora,1.92,1.68,1.92,1.68,2.60,52,96,74,52,26,12,68,32,82,50,9.88,4.48,70,58,42,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.40,4.20,5.34,1.22,1.79,2.80,5.10,1.91,1.83,1.68,1.33,0.00,0.00,10.50,3.90,2.00,1.36,1.10,1.14,1.17,2.35,1.16,4.50,1.02,1.14,1.33,1.59,1.91,6.71,4.16,2.88,2.19,1.80,4,26,48,74,88,1.31,2.50,6.50,2.97,1.42,1.10,1.22,2.23,3.80,4.30,1.72,1.20,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,1.92,1.68,0,/guatemala/deportivo-antigua-guatemala-fc-vs-aurora-fc-h2h-stats
1766023200,Dec 18 2025 - 2:00am,Costa Rica,Primera División FPD,Deportivo Saprissa,Alajuelense,2.00,2.20,2.00,2.20,2.55,45,90,78,50,28,8,70,38,80,48,12.65,4.50,78,70,68,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.10,3.00,2.98,1.44,2.46,4.99,11.00,2.10,1.67,1.69,1.54,0.00,0.00,6.00,2.45,1.48,1.15,1.04,1.36,1.30,1.51,1.61,2.20,1.19,1.40,1.87,2.06,2.78,3.82,2.55,2.04,1.67,1.34,10,23,50,73,93,1.56,3.11,9.30,2.33,1.23,1.00,1.36,2.50,6.50,2.80,1.40,1.10,N/A,N/A,N/A,N/A,0,1.58,7.00,2.50,2.00,2.20,0,/costa-rica/ld-alajuelense-vs-deportivo-saprissa-h2h-stats
1766048400,Dec 18 2025 - 9:00am,Azerbaijan,First Division,Difai Ağsu,Energetik,0.00,2.00,0.00,2.00,2.90,70,90,90,80,20,10,65,45,78,35,8.90,0.00,43,43,10,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.25,3.75,1.64,1.22,1.73,2.75,5.00,1.73,1.95,0.94,1.69,0.00,0.00,12.00,3.80,2.00,1.36,1.14,1.16,1.25,1.17,3.40,1.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,10,20,80,90,1.30,2.62,5.80,3.25,1.50,1.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,N/A,N/A,N/A,0.50,1.90,11,/azerbaijan/energetik-fk-vs-fk-difai-agsu-h2h-stats
1766052000,Dec 18 2025 - 10:00am,Moldova,Womens Football Championship,ŞS11 / Real Succes,Zimbru W,1.17,1.38,1.17,1.38,3.88,42,86,65,59,59,44,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,36,42,42,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.86,1.57,6,/moldova/ss-no-11-real-succes-vs-fc-zimbru-chisinau-women-h2h-stats
1766052000,Dec 18 2025 - 10:00am,Vietnam,V.League 1,Hoang Anh Gia Lai,Công An Nhân Dân,1.20,2.33,1.20,2.33,2.57,57,100,100,47,10,0,100,10,90,37,8.33,1.87,47,37,20,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.90,5.00,1.20,1.18,1.62,2.38,4.50,1.95,1.75,1.40,2.14,0.00,0.00,15.00,4.50,2.21,1.54,1.18,1.17,1.17,1.06,6.00,1.11,1.32,1.66,2.36,2.64,3.67,2.91,2.10,1.68,1.40,1.20,0,0,54,90,100,1.25,2.29,5.05,3.20,1.59,1.10,1.20,1.91,3.90,4.20,1.80,1.22,N/A,N/A,N/A,N/A,10,8.30,11.60,1.14,0.80,2.56,4,/vietnam/hoang-anh-gia-lai-vs-cong-an-nhan-dan-h2h-stats
